ID,Lat,Long,PC1,PC2,PC3
694,45.301785,27.966771,-0.114544,0.125172,-0.0815952
762,42.63,-2.7,0.0584985,0.0636836,0.00928583
258,45.845833,28.194722,-0.0548898,-0.0290171,0.006739
985,52.985499,-9.111454,0.0705969,0.0479438,0.00912096
1761,51.89583333,11.04666667,-0.0331012,0.00600165,0.0102735
1925,48.176348,20.918726,-0.0166858,0.00977164,-0.00735551
41,40.42,-3.7,0.0130998,0.00777644,0.0101643
350,47.815741,21.099227,0.0856611,0.0171793,-0.0065934
1128,40.158534,15.157976,0.046696,-0.0432466,-0.0331321
121,47.7467,22.395,0.0849241,0.0146595,-0.00856074
1509,37.34,28.04,0.0545422,-0.0389542,-0.0272834
788,42.283004,13.624005,0.0369866,-0.0340843,-0.0167933
2222,54.132778,-0.324722,-0.0282434,0.0117361,0.0234035
1364,50.079644,34.632157,-0.0236836,-0.0131449,-0.00151558
1514,58.17,22.25,-0.0377834,0.0151826,0.0216338
531,40.382958,43.873663,0.0207643,-0.0747233,-0.0445464
1385,41.643977,1.147374,0.0360733,-0.0322946,-0.0187932
1770,50.511285,13.767871,-0.00917805,0.0120865,0.00788365
1381,56.2833,25.1333,-0.113354,0.158412,-0.065
1105,53.919396,-0.766635,-0.0276156,0.011096,0.0198647
323,46.89962,18.933669,0.0292347,0.0027597,-0.00404353
1023,54.82128,49.11835,-0.0548022,-0.0470549,0.011525
1684,50.044984,14.339296,-0.0612065,-0.011535,0.00785662
925,47.395,40.168061,-0.102271,-0.0157007,-0.0136983
221,38.9202,-6.3447,0.0165587,0.00409997,0.00996266
260,47.866359,21.119936,0.0847285,0.0122386,-0.00818361
445,47.84,28.74,0.0486166,0.00906798,-0.0158896
1456,48.663,12.707,-0.0194502,0.0158528,0.0070863
2200,47.269,39.335,-0.0172544,0.0126177,0.0171571
2209,44.1618,8.32639,0.0717717,0.0479594,0.00844351
1640,51.3603,1.3405,-0.0307201,0.00467287,0.0161772
193,40.29221,45.130679,-0.00730402,-0.0678324,-0.0313099
1161,51.091224,-1.72751,0.0676314,0.0465755,0.013265
542,43.16089,25.88341,0.0352594,0.0182197,-0.0247949
75,52.934997,-8.154168,0.0740981,0.0511374,0.0136714
420,54.53,-2.16,-0.0152737,0.0128171,0.0171904
231,47.254147,21.610127,0.110324,-0.0040194,-0.00510463
2227,51.376994,10.83374,-0.023088,0.00868311,0.0118141
262,47.7467,22.395,0.0785852,0.0225422,-0.0134908
85,53.95309,1.075105,-0.0251245,0.0114735,0.016463
1119,40.615278,15.058611,0.0794224,0.0214666,0.00480235
47,47.395,40.168061,-0.0949661,-0.0155807,-0.0154363
2262,52.608432,18.899266,0.0251312,-0.0327544,-0.0176157
1433,43.7,6.99,0.0664001,0.0543422,0.00684002
2139,39.904,4.196,0.0185269,0.0296167,0.0157311
2133,40.416667,45.2,0.00795134,-0.0676244,-0.0353378
905,54.594544,-1.309398,-0.0325194,0.0152216,0.0172595
2464,47.866493,21.116581,0.0771037,0.02415,-0.0163797
471,57.281086,18.169117,-0.0732913,0.103039,-0.0498381
